company_name,industry,phone,address,city,email,revenue,id,score,insights
Sheppard-Malone Co,Construction,259-213-1387,4491 Lakeshore Dr,Chicago,info@sheppard-maloneco.yahoo.com,430876,188,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Fernandez-Miller Co,Retail,967-663-1804,3052 Broadway,San Francisco,info@fernandez-millerco.hotmail.com,5996027,189,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
"Ramsey, Systems",Technology,847-184-9591,9685 Sunset Blvd,Houston,"info@ramsey,systems.gmail.com",5188122,190,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
"Johnson, Inc",Education,954-412-9075,2229 Lakeshore Dr,Houston,"info@johnson,inc.gmail.com",6857260,191,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Booker LLC,Technology,723-772-4167,8418 5th Ave,New York,info@bookerllc.hotmail.com,7931638,192,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Diaz Group,Construction,713-277-7200,2133 Market St,Chicago,info@diazgroup.hotmail.com,9977998,193,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Chambers-Kelly Corp,Finance,668-899-8929,4709 Market St,New York,info@chambers-kellycorp.gmail.com,2320867,194,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Williams-Odom Co,Construction,881-588-5827,764 Broadway,Los Angeles,info@williams-odomco.hotmail.com,4447134,195,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
"Barnett, LLC",Construction,503-377-8123,7589 Lakeshore Dr,Houston,"info@barnett,llc.hotmail.com",2333760,196,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Donaldson-Murphy LLC,Retail,872-212-1761,3121 Main St,Miami,info@donaldson-murphyllc.yahoo.com,6825936,197,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Allen Co,Hospitality,697-680-1765,3876 Oak Ave,Seattle,info@allenco.gmail.com,4580747,198,0.0,"hospitality in the Encyclopédie is the virtue of a great soul that cares for the whole universe through the ties of humanity . hospitality plays a role in augmenting or decreasing the volume of sales of an organization . hospes is formed from hostis, which means ""stranger"" or ""enemy"""
Norris-Marshall Inc,Healthcare,937-269-2892,7734 Sunset Blvd,San Francisco,info@norris-marshallinc.hotmail.com,6862716,199,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Robinson-Garcia Partners,Education,299-752-1591,9357 Lakeshore Dr,Houston,info@robinson-garciapartners.yahoo.com,246732,200,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
